pic_number,delta_azimuth,delta_elevation
1,-1.0,0.3000000000000007
2,-0.25,-1.0
3,-0.9000000000000004,-0.5
4,0.0,0.40000000000000036
5,-1.5999999999999996,0.15000000000000036
6,-0.09999999999999964,-0.9499999999999993
7,-1.5999999999999996,-0.5499999999999989
8,-0.5999999999999996,0.45000000000000107
9,-0.5,-0.5499999999999989
10,-1.5,-1.049999999999999
11,0.25,0.5500000000000007
12,-1.5,0.3000000000000007
13,1.0,-0.4499999999999993
14,-1.5,0.3000000000000007
15,-1.1500000000000004,-0.1999999999999993
16,-1.4000000000000004,-1.0
17,0.09999999999999964,0.6999999999999993
18,1.0,-0.5500000000000007
19,-1.0999999999999996,-0.15000000000000036
20,-0.9000000000000004,0.4499999999999993
21,-1.6500000000000004,-0.05000000000000071
22,0.5,0.1999999999999993
23,0.25,-0.3000000000000007
24,-1.1999999999999993,-0.9000000000000004
25,-1.8999999999999986,0.5
26,-1.0999999999999979,0.75
27,-1.2999999999999972,-0.5
28,-0.9499999999999975,-0.25
29,-1.0499999999999972,0.75
30,-1.2999999999999972,-0.40000000000000036
31,-0.29999999999999716,0.5999999999999996
32,-0.49999999999999645,-0.40000000000000036
33,-0.24999999999999645,0.34999999999999964
34,-1.0499999999999954,-0.9000000000000004
35,-0.44999999999999574,-0.15000000000000036
36,-0.04999999999999716,0.29999999999999893
37,-1.2999999999999972,0.7999999999999989
38,-0.9499999999999975,-0.20000000000000107
